id,conduct_score_pred,severity_level,reason_text,solution_text
1482,0.4818,Trung bình,"Đáng chú ý, Tương tác hạn chế trong sinh hoạt chi đoàn. Ảnh hưởng trực tiếp tới điểm rèn luyện",Hoàn thiện minh chứng rèn luyện ngay sau mỗi hoạt động
1483,0.5068,Trung bình,Thực tế cho thấy Đóng góp hoạt động lớp ở mức tối thiểu. Cần tăng cường tham gia hoạt động có trọng điểm,"Vì vậy, tham gia nhóm học tập tình nguyện cố định"
1484,0.2031,Cao,"Theo ghi nhận, Không tham gia các cuộc thi học thuật cấp khoa",Hoàn thành minh chứng rèn luyện và nộp trước hạn và báo cáo minh chứng trên LMS
1485,0.7482,Thấp,Quan sát cho thấy Đề xuất ý tưởng hoạt động cho chi đoàn. Ảnh hưởng trực tiếp tới điểm rèn luyện,Đề xuất nội dung tập huấn kỹ năng cho chi đoàn và báo cáo minh chứng trên LMS
1486,0.3298,Trung bình,Quan sát cho thấy Tham gia thi học thuật nhưng dừng ở vòng loại. Cần tăng cường tham gia hoạt động có trọng điểm,Hệ quả là tham gia nhóm học tập tình nguyện cố định
1487,0.9939,Tốt,Quan sát cho thấy Đóng góp sáng kiến chuyển đổi số cho hoạt động Đoàn,Hệ quả là định hướng đề tài NCKH cho nhóm sinh viên
1488,0.7554,Thấp,Quan sát cho thấy Đóng góp đều cho hoạt động lớp và chi đoàn,Đảm nhận mentor cho nhóm sinh viên mới và báo cáo minh chứng trên LMS
1489,0.694,Thấp,Đóng góp hoạt động cộng đồng tại địa phương,"Do đó, đề xuất nội dung tập huấn kỹ năng cho chi đoàn"
1490,0.7058,Thấp,"Trong học kỳ này, Tham gia tập huấn kỹ năng mềm theo lộ trình",Duy trì tần suất tham gia và lan tỏa tới bạn bè và báo cáo minh chứng trên LMS
1491,0.567,Trung bình,Thực tế cho thấy Đóng góp hoạt động lớp ở mức tối thiểu. Ảnh hưởng trực tiếp tới điểm rèn luyện,"Từ đó, mở rộng tham gia cuộc thi học thuật cấp khoa và báo cáo minh chứng trên LMS"
1492,0.3341,Trung bình,"Đáng chú ý, Đăng ký tham gia nhưng rút lui vào phút cuối",Xây dựng lịch rèn luyện đều đặn theo tuần
1493,0.9176,Tốt,Đạt giải cao trong cuộc thi học thuật cấp trường,Xây dựng mô hình CLB học thuật bền vững
1494,0.0071,Cao,Không hoàn thành số buổi sinh hoạt chi đoàn theo quy định. Cần tăng cường tham gia hoạt động có trọng điểm,"Do đó, thực hiện cam kết kỷ luật và theo dõi tiến độ hằng tuần"
1495,0.7367,Thấp,Quan sát cho thấy Có kế hoạch rèn luyện cá nhân theo tháng. Cần tăng cường tham gia hoạt động có trọng điểm,Mở rộng hợp tác với CLB khác trong khoa
1496,0.0718,Cao,Quan sát cho thấy Chưa hoàn thành cam kết rèn luyện đầu kỳ,Hệ quả là tham gia tập huấn kỹ năng mềm do Đoàn tổ chức
1497,0.8492,Thấp,Có kế hoạch rèn luyện cá nhân theo tháng. Cần tăng cường tham gia hoạt động có trọng điểm,Ghi nhận thành tích và nộp minh chứng đúng hạn
1498,0.4917,Trung bình,Thực tế cho thấy Đăng ký tham gia nhưng rút lui vào phút cuối,Xây dựng lịch rèn luyện đều đặn theo tuần
1499,0.9134,Tốt,Thực tế cho thấy Tham gia hội nghị sinh viên nghiên cứu khoa học. Cần tăng cường tham gia hoạt động có trọng điểm,Lan tỏa sáng kiến rèn luyện hiệu quả đến chi đoàn khác và báo cáo minh chứng trên LMS
1500,0.6455,Thấp,Thực tế cho thấy Kết nối bạn bè tham gia thêm hoạt động học thuật,Hệ quả là mở rộng hợp tác với CLB khác trong khoa
1501,0.0131,Cao,Thực tế cho thấy Bị nhắc nhở kỷ luật do đi học trễ nhiều lần,Đăng ký ít nhất 1 chương trình tình nguyện dài ngày
1502,0.9748,Tốt,"Trong học kỳ này, Điều phối các chiến dịch tình nguyện quy mô lớn",Xây dựng cẩm nang rèn luyện và chia sẻ rộng rãi
1503,0.292,Cao,"Theo ghi nhận, Vi phạm nội quy trong sự kiện của khoa. Ảnh hưởng trực tiếp tới điểm rèn luyện",Thực hiện cam kết kỷ luật và theo dõi tiến độ hằng tuần
1504,0.426,Trung bình,"Đáng chú ý, Ít đề xuất sáng kiến cho chi đoàn",Chuẩn bị nội dung trước khi dự seminar học thuật và báo cáo minh chứng trên LMS
1505,0.7126,Thấp,Thực tế cho thấy Duy trì sinh hoạt câu lạc bộ học thuật. Cần tăng cường tham gia hoạt động có trọng điểm,"Vì vậy, đảm nhận mentor cho nhóm sinh viên mới"
1506,0.2822,Cao,"Theo ghi nhận, Không đăng ký nhiệm vụ cộng đồng theo kế hoạch",Tham gia đội hình tình nguyện tại địa phương
1507,0.9936,Tốt,"Quan sát cho thấy Là hạt nhân phong trào, tạo ảnh hưởng tích cực",Định hướng đề tài NCKH cho nhóm sinh viên và báo cáo minh chứng trên LMS
1508,0.9172,Tốt,Đạt giải cao trong cuộc thi học thuật cấp trường,Đề cử tham gia giải thưởng rèn luyện cấp trường
1509,0.868,Tốt,Thực tế cho thấy Dẫn dắt câu lạc bộ học thuật của khoa,Đề cử tham gia giải thưởng rèn luyện cấp trường
1510,0.5472,Trung bình,Chưa có minh chứng đóng góp cộng đồng nổi bật,"Do đó, tăng tần suất tham gia hoạt động lớp và chi đoàn"
1511,0.3735,Trung bình,Thực tế cho thấy Chưa tận dụng các chương trình kỹ năng mềm,Xây dựng lịch rèn luyện đều đặn theo tuần
1512,0.9357,Tốt,Quan sát cho thấy Huấn luyện kỹ năng mềm cho các khóa dưới,Phối hợp tổ chức chiến dịch tình nguyện quy mô lớn
1513,0.1538,Cao,"Đáng chú ý, Bỏ lỡ buổi sinh hoạt lớp đánh giá rèn luyện giữa kỳ. Ảnh hưởng trực tiếp tới điểm rèn luyện",Tham gia đội hình tình nguyện tại địa phương và báo cáo minh chứng trên LMS
1514,0.0267,Cao,Chậm trễ trong việc xác nhận minh chứng tham gia. Cần tăng cường tham gia hoạt động có trọng điểm,Tham dự tối thiểu 2 seminar học thuật mỗi tháng và báo cáo minh chứng trên LMS
1515,0.28,Cao,"Theo ghi nhận, Bỏ lỡ buổi sinh hoạt lớp đánh giá rèn luyện giữa kỳ. Ảnh hưởng trực tiếp tới điểm rèn luyện",Phối hợp với cố vấn học tập để chọn hoạt động phù hợp
1516,0.5317,Trung bình,Chưa tận dụng các chương trình kỹ năng mềm,"Vì vậy, tham gia nhóm học tập tình nguyện cố định và báo cáo minh chứng trên LMS"
1517,0.8508,Tốt,Huấn luyện kỹ năng mềm cho các khóa dưới,Huấn luyện kỹ năng lãnh đạo cho khóa dưới và báo cáo minh chứng trên LMS
1518,0.2522,Cao,Quan sát cho thấy Chưa hoàn thành cam kết rèn luyện đầu kỳ. Cần tăng cường tham gia hoạt động có trọng điểm,Phối hợp với cố vấn học tập để chọn hoạt động phù hợp
1519,0.8574,Tốt,Đạt giải cao trong cuộc thi học thuật cấp trường,"Từ đó, định hướng đề tài NCKH cho nhóm sinh viên và báo cáo minh chứng trên LMS"
1520,0.9963,Tốt,"Đáng chú ý, Làm gương trong kỷ luật và tinh thần cộng đồng",Kết nối doanh nghiệp tài trợ hoạt động sinh viên và báo cáo minh chứng trên LMS
1521,0.968,Tốt,Quan sát cho thấy Điều phối các chiến dịch tình nguyện quy mô lớn,Định hướng đề tài NCKH cho nhóm sinh viên
1522,0.1195,Cao,"Trong học kỳ này, Thiếu tinh thần hợp tác trong dự án cộng đồng. Ảnh hưởng trực tiếp tới điểm rèn luyện",Tham gia đội hình tình nguyện tại địa phương
1523,0.1026,Cao,"Theo ghi nhận, Vi phạm nội quy trong sự kiện của khoa","Từ đó, tham gia câu lạc bộ học thuật theo sở thích cá nhân"
1524,0.1946,Cao,Không tham gia tập huấn kỹ năng mềm do Đoàn tổ chức,Phối hợp với cố vấn học tập để chọn hoạt động phù hợp và báo cáo minh chứng trên LMS
1525,0.9903,Tốt,Huấn luyện kỹ năng mềm cho các khóa dưới. Ảnh hưởng trực tiếp tới điểm rèn luyện,Tổ chức hội thảo chuyên đề liên khoa
1526,0.2027,Cao,"Đáng chú ý, Bỏ lỡ buổi sinh hoạt lớp đánh giá rèn luyện giữa kỳ",Tham dự tối thiểu 2 seminar học thuật mỗi tháng
1527,0.5053,Trung bình,Quan sát cho thấy Đăng ký tham gia nhưng rút lui vào phút cuối. Cần tăng cường tham gia hoạt động có trọng điểm,Chuẩn bị nội dung trước khi dự seminar học thuật và báo cáo minh chứng trên LMS
1528,0.1695,Cao,Không đóng góp vào hoạt động tập thể của lớp. Ảnh hưởng trực tiếp tới điểm rèn luyện,Hệ quả là đăng ký trực nhật/lực lượng hậu cần trong sự kiện
1529,0.6047,Thấp,Thực tế cho thấy Duy trì tinh thần hợp tác và trách nhiệm,Hỗ trợ truyền thông và hậu cần cho chương trình
1530,0.5819,Trung bình,Quan sát cho thấy Ít đề xuất sáng kiến cho chi đoàn,Đề xuất sáng kiến nhỏ cho chi đoàn
1531,0.4344,Trung bình,Tương tác hạn chế trong sinh hoạt chi đoàn. Cần tăng cường tham gia hoạt động có trọng điểm,Tăng tần suất tham gia hoạt động lớp và chi đoàn và báo cáo minh chứng trên LMS
1532,0.9059,Tốt,Tham gia hội nghị sinh viên nghiên cứu khoa học. Cần tăng cường tham gia hoạt động có trọng điểm,Phối hợp tổ chức chiến dịch tình nguyện quy mô lớn và báo cáo minh chứng trên LMS
1533,0.2521,Cao,Không hoàn thành số buổi sinh hoạt chi đoàn theo quy định. Cần tăng cường tham gia hoạt động có trọng điểm,Tham gia đội hình tình nguyện tại địa phương
1534,0.8655,Tốt,Dẫn dắt câu lạc bộ học thuật của khoa,Định hướng đề tài NCKH cho nhóm sinh viên và báo cáo minh chứng trên LMS
1535,0.5058,Trung bình,Chưa tận dụng các chương trình kỹ năng mềm. Ảnh hưởng trực tiếp tới điểm rèn luyện,Hệ quả là hoàn thiện minh chứng rèn luyện ngay sau mỗi hoạt động
1536,0.9617,Tốt,Được đề cử học bổng rèn luyện – phong trào. Cần tăng cường tham gia hoạt động có trọng điểm,"Từ đó, tiếp tục phát huy vai trò hạt nhân phong trào"
1537,0.1611,Cao,Không phản hồi khảo sát rèn luyện bắt buộc,Phối hợp với cố vấn học tập để chọn hoạt động phù hợp và báo cáo minh chứng trên LMS
1538,0.9945,Tốt,"Trong học kỳ này, Được tuyên dương về điểm rèn luyện xuất sắc",Phối hợp tổ chức chiến dịch tình nguyện quy mô lớn
1539,0.156,Cao,Không phản hồi khảo sát rèn luyện bắt buộc,Tham gia câu lạc bộ học thuật theo sở thích cá nhân
1540,0.1004,Cao,"Đáng chú ý, Vi phạm quy định ứng xử tại sự kiện của trường",Tham gia câu lạc bộ học thuật theo sở thích cá nhân
1541,0.8746,Tốt,"Theo ghi nhận, Đảm nhận vai trò bí thư hoặc lớp trưởng gương mẫu",Tổ chức hội thảo chuyên đề liên khoa và báo cáo minh chứng trên LMS
1542,0.7974,Thấp,Quan sát cho thấy Tham gia tập huấn kỹ năng mềm theo lộ trình,Tổ chức hoạt động học thuật quy mô nhỏ
1543,0.2311,Cao,Quan sát cho thấy Không hoàn thành số buổi sinh hoạt chi đoàn theo quy định. Ảnh hưởng trực tiếp tới điểm rèn luyện,Lập kế hoạch tham gia tối thiểu 3 hoạt động Đoàn–Hội trong tháng
1544,0.6925,Thấp,"Đáng chú ý, Có kế hoạch rèn luyện cá nhân theo tháng","Từ đó, hỗ trợ truyền thông và hậu cần cho chương trình và báo cáo minh chứng trên LMS"
1545,0.5165,Trung bình,"Trong học kỳ này, Có tham gia hội thảo học thuật nhưng chuẩn bị còn sơ sài. Cần tăng cường tham gia hoạt động có trọng điểm",Mở rộng tham gia cuộc thi học thuật cấp khoa và báo cáo minh chứng trên LMS
1546,0.5058,Trung bình,Quan sát cho thấy Tham gia seminar nhưng không phản hồi nội dung. Ảnh hưởng trực tiếp tới điểm rèn luyện,Tham gia nhóm học tập tình nguyện cố định
1547,0.8587,Tốt,Đạt giải cao trong cuộc thi học thuật cấp trường,Hệ quả là kết nối doanh nghiệp tài trợ hoạt động sinh viên và báo cáo minh chứng trên LMS
1548,0.4113,Trung bình,"Đáng chú ý, Tham gia seminar nhưng không phản hồi nội dung",Tham gia nhóm học tập tình nguyện cố định và báo cáo minh chứng trên LMS
1549,0.7957,Thấp,Thực tế cho thấy Tương tác tích cực trong các buổi sinh hoạt kỹ năng. Ảnh hưởng trực tiếp tới điểm rèn luyện,Duy trì tần suất tham gia và lan tỏa tới bạn bè và báo cáo minh chứng trên LMS
1550,0.5938,Trung bình,Quan sát cho thấy Hoạt động phong trào thiếu tính liên tục,Rèn luyện kỹ năng làm việc nhóm qua dự án
1551,0.3139,Trung bình,"Theo ghi nhận, Chưa có minh chứng đóng góp cộng đồng nổi bật",Chuẩn bị nội dung trước khi dự seminar học thuật và báo cáo minh chứng trên LMS
1552,0.3619,Trung bình,"Theo ghi nhận, Nộp minh chứng rèn luyện sát hạn chót",Đề xuất sáng kiến nhỏ cho chi đoàn
1553,0.6141,Thấp,Chia sẻ kinh nghiệm tham gia phong trào với lớp. Cần tăng cường tham gia hoạt động có trọng điểm,Chia sẻ kinh nghiệm rèn luyện cho lớp
1554,0.3157,Trung bình,"Quan sát cho thấy Thiếu chiều sâu, tham gia tình nguyện ngắn hạn","Vì vậy, đặt mục tiêu điểm rèn luyện từng giai đoạn"
1555,0.9877,Tốt,"Theo ghi nhận, Thường xuyên tổ chức seminar chia sẻ học thuật",Đề cử tham gia giải thưởng rèn luyện cấp trường
1556,0.1482,Cao,Không phản hồi khảo sát rèn luyện bắt buộc,Tham gia tập huấn kỹ năng mềm do Đoàn tổ chức
1557,0.4086,Trung bình,"Thực tế cho thấy Tham gia tình nguyện ngắn hạn, thiếu chiều sâu",Đề xuất sáng kiến nhỏ cho chi đoàn
1558,0.5488,Trung bình,Đôi khi quên cập nhật nhật ký rèn luyện. Ảnh hưởng trực tiếp tới điểm rèn luyện,Hệ quả là đề xuất sáng kiến nhỏ cho chi đoàn
1559,0.0847,Cao,Thực tế cho thấy Chậm trễ trong việc xác nhận minh chứng tham gia,Đăng ký ít nhất 1 chương trình tình nguyện dài ngày và báo cáo minh chứng trên LMS
1560,0.1941,Cao,Thiếu tinh thần hợp tác trong dự án cộng đồng,Đăng ký trực nhật/lực lượng hậu cần trong sự kiện và báo cáo minh chứng trên LMS
1561,0.0424,Cao,Quan sát cho thấy Không nộp minh chứng điểm rèn luyện đúng hạn. Ảnh hưởng trực tiếp tới điểm rèn luyện,Thực hiện cam kết kỷ luật và theo dõi tiến độ hằng tuần và báo cáo minh chứng trên LMS
1562,0.2478,Cao,Không đóng góp vào hoạt động tập thể của lớp,Phối hợp với cố vấn học tập để chọn hoạt động phù hợp
1563,0.217,Cao,Thực tế cho thấy Ít tham gia hoạt động Đoàn–Hội trong học kỳ,Tham gia tập huấn kỹ năng mềm do Đoàn tổ chức và báo cáo minh chứng trên LMS
1564,0.76,Thấp,Tham gia ổn định các hoạt động Đoàn–Hội. Ảnh hưởng trực tiếp tới điểm rèn luyện,"Do đó, đề xuất nội dung tập huấn kỹ năng cho chi đoàn và báo cáo minh chứng trên LMS"
1565,0.0415,Cao,"Trong học kỳ này, Không tham gia các cuộc thi học thuật cấp khoa. Ảnh hưởng trực tiếp tới điểm rèn luyện",Tham dự tối thiểu 2 seminar học thuật mỗi tháng
1566,0.4639,Trung bình,"Trong học kỳ này, Thỉnh thoảng vắng họp lớp không lý do. Cần tăng cường tham gia hoạt động có trọng điểm",Đề xuất sáng kiến nhỏ cho chi đoàn
1567,0.9468,Tốt,"Theo ghi nhận, Xây dựng mô hình rèn luyện hiệu quả cho chi đoàn. Cần tăng cường tham gia hoạt động có trọng điểm",Tiếp tục phát huy vai trò hạt nhân phong trào
1568,0.8645,Tốt,Đóng góp sáng kiến chuyển đổi số cho hoạt động Đoàn. Cần tăng cường tham gia hoạt động có trọng điểm,Kết nối doanh nghiệp tài trợ hoạt động sinh viên và báo cáo minh chứng trên LMS
1569,0.5104,Trung bình,"Theo ghi nhận, Tham gia câu lạc bộ học thuật nhưng ít hoạt động. Cần tăng cường tham gia hoạt động có trọng điểm",Chủ động nhận nhiệm vụ trong sự kiện của khoa
1570,0.8857,Tốt,Quan sát cho thấy Huấn luyện kỹ năng mềm cho các khóa dưới,Phối hợp tổ chức chiến dịch tình nguyện quy mô lớn
1571,0.9515,Tốt,"Đáng chú ý, Được tuyên dương về điểm rèn luyện xuất sắc",Huấn luyện kỹ năng lãnh đạo cho khóa dưới
1572,0.0852,Cao,"Trong học kỳ này, Chưa tham gia bất kỳ câu lạc bộ học thuật nào. Ảnh hưởng trực tiếp tới điểm rèn luyện",Tham gia tập huấn kỹ năng mềm do Đoàn tổ chức
1573,0.1036,Cao,Vi phạm nội quy trong sự kiện của khoa. Ảnh hưởng trực tiếp tới điểm rèn luyện,"Từ đó, phối hợp với cố vấn học tập để chọn hoạt động phù hợp và báo cáo minh chứng trên LMS"
1574,0.4167,Trung bình,"Đáng chú ý, Ít đề xuất sáng kiến cho chi đoàn. Cần tăng cường tham gia hoạt động có trọng điểm",Chủ động nhận nhiệm vụ trong sự kiện của khoa
1575,0.0515,Cao,Không tham gia tập huấn kỹ năng mềm do Đoàn tổ chức,Hệ quả là tham gia câu lạc bộ học thuật theo sở thích cá nhân
1576,0.8967,Tốt,"Theo ghi nhận, Huấn luyện kỹ năng mềm cho các khóa dưới","Từ đó, huấn luyện kỹ năng lãnh đạo cho khóa dưới"
1577,0.8265,Thấp,Đóng góp hoạt động cộng đồng tại địa phương. Ảnh hưởng trực tiếp tới điểm rèn luyện,Đề xuất nội dung tập huấn kỹ năng cho chi đoàn và báo cáo minh chứng trên LMS
1578,0.8538,Tốt,"Đáng chú ý, Chủ trì dự án cộng đồng được Đoàn trường ghi nhận. Cần tăng cường tham gia hoạt động có trọng điểm",Lan tỏa sáng kiến rèn luyện hiệu quả đến chi đoàn khác
1579,0.7607,Thấp,Thực hiện nhật ký rèn luyện cá nhân đều đặn,Ghi nhận thành tích và nộp minh chứng đúng hạn
1580,0.9599,Tốt,"Theo ghi nhận, Điều phối các chiến dịch tình nguyện quy mô lớn",Huấn luyện kỹ năng lãnh đạo cho khóa dưới
1581,0.7352,Thấp,Quan sát cho thấy Đóng góp hoạt động cộng đồng tại địa phương,Hỗ trợ truyền thông và hậu cần cho chương trình
1582,0.2513,Cao,Không tham gia tập huấn kỹ năng mềm do Đoàn tổ chức,Lập kế hoạch tham gia tối thiểu 3 hoạt động Đoàn–Hội trong tháng và báo cáo minh chứng trên LMS
1583,0.6588,Thấp,"Hoàn thành minh chứng rèn luyện đầy đủ, đúng hạn",Đảm nhận mentor cho nhóm sinh viên mới
1584,0.7811,Thấp,"Theo ghi nhận, Hỗ trợ truyền thông cho chương trình của khoa",Đề xuất nội dung tập huấn kỹ năng cho chi đoàn
1585,0.0672,Cao,"Trong học kỳ này, Vi phạm nội quy trong sự kiện của khoa",Đăng ký ít nhất 1 chương trình tình nguyện dài ngày
1586,0.0183,Cao,Quan sát cho thấy Không nộp minh chứng điểm rèn luyện đúng hạn,Tham gia tập huấn kỹ năng mềm do Đoàn tổ chức
1587,0.9663,Tốt,"Đáng chú ý, Dẫn dắt câu lạc bộ học thuật của khoa. Cần tăng cường tham gia hoạt động có trọng điểm",Tổ chức hội thảo chuyên đề liên khoa
1588,0.8808,Tốt,Thực tế cho thấy Thường xuyên tổ chức seminar chia sẻ học thuật. Cần tăng cường tham gia hoạt động có trọng điểm,Xây dựng mô hình CLB học thuật bền vững và báo cáo minh chứng trên LMS
1589,0.2176,Cao,"Theo ghi nhận, Không tham gia các cuộc thi học thuật cấp khoa. Ảnh hưởng trực tiếp tới điểm rèn luyện",Thực hiện cam kết kỷ luật và theo dõi tiến độ hằng tuần và báo cáo minh chứng trên LMS
1590,0.1999,Cao,"Trong học kỳ này, Vắng các đợt tình nguyện và chiến dịch Mùa hè xanh",Tham gia đội hình tình nguyện tại địa phương và báo cáo minh chứng trên LMS
1591,0.0401,Cao,"Đáng chú ý, Bỏ lỡ buổi sinh hoạt lớp đánh giá rèn luyện giữa kỳ. Ảnh hưởng trực tiếp tới điểm rèn luyện","Do đó, lập kế hoạch tham gia tối thiểu 3 hoạt động Đoàn–Hội trong tháng"
1592,0.0604,Cao,Không hoàn thành số buổi sinh hoạt chi đoàn theo quy định. Ảnh hưởng trực tiếp tới điểm rèn luyện,Phối hợp với cố vấn học tập để chọn hoạt động phù hợp
1593,0.2196,Cao,Quan sát cho thấy Không hoàn thành nghĩa vụ trực nhật/lao động công ích,Hoàn thành minh chứng rèn luyện và nộp trước hạn
1594,0.9137,Tốt,"Trong học kỳ này, Đảm nhận vai trò bí thư hoặc lớp trưởng gương mẫu",Lan tỏa sáng kiến rèn luyện hiệu quả đến chi đoàn khác
1595,0.2316,Cao,Không hoàn thành nghĩa vụ trực nhật/lao động công ích. Ảnh hưởng trực tiếp tới điểm rèn luyện,Đăng ký trực nhật/lực lượng hậu cần trong sự kiện và báo cáo minh chứng trên LMS
1596,0.9329,Tốt,"Theo ghi nhận, Tham gia hội nghị sinh viên nghiên cứu khoa học",Định hướng đề tài NCKH cho nhóm sinh viên
1597,0.2781,Cao,Không phản hồi khảo sát rèn luyện bắt buộc. Ảnh hưởng trực tiếp tới điểm rèn luyện,Lập kế hoạch tham gia tối thiểu 3 hoạt động Đoàn–Hội trong tháng
1598,0.0607,Cao,"Đáng chú ý, Bị nhắc nhở kỷ luật do đi học trễ nhiều lần",Hoàn thành minh chứng rèn luyện và nộp trước hạn
1599,0.2383,Cao,Quan sát cho thấy Thiếu tinh thần hợp tác trong dự án cộng đồng,Tham gia câu lạc bộ học thuật theo sở thích cá nhân
1600,0.2834,Cao,"Theo ghi nhận, Không hoàn thành nghĩa vụ trực nhật/lao động công ích",Hoàn thành minh chứng rèn luyện và nộp trước hạn
1601,0.121,Cao,Vắng các đợt tình nguyện và chiến dịch Mùa hè xanh. Cần tăng cường tham gia hoạt động có trọng điểm,Thực hiện cam kết kỷ luật và theo dõi tiến độ hằng tuần
1602,0.6017,Thấp,"Theo ghi nhận, Giữ tác phong kỷ luật tốt trong sự kiện. Ảnh hưởng trực tiếp tới điểm rèn luyện","Vì vậy, duy trì tần suất tham gia và lan tỏa tới bạn bè và báo cáo minh chứng trên LMS"
1603,0.5849,Trung bình,Thực tế cho thấy Đăng ký tham gia nhưng rút lui vào phút cuối. Ảnh hưởng trực tiếp tới điểm rèn luyện,Hệ quả là tham gia nhóm học tập tình nguyện cố định và báo cáo minh chứng trên LMS
1604,0.6464,Thấp,"Theo ghi nhận, Duy trì tinh thần hợp tác và trách nhiệm",Mở rộng hợp tác với CLB khác trong khoa
1605,0.6523,Thấp,Quan sát cho thấy Tham gia cuộc thi học thuật và đạt thành tích khá,Duy trì tần suất tham gia và lan tỏa tới bạn bè và báo cáo minh chứng trên LMS
1606,0.2438,Cao,"Trong học kỳ này, Không đăng ký nhiệm vụ cộng đồng theo kế hoạch. Ảnh hưởng trực tiếp tới điểm rèn luyện",Phối hợp với cố vấn học tập để chọn hoạt động phù hợp và báo cáo minh chứng trên LMS
1607,0.0472,Cao,Chậm trễ trong việc xác nhận minh chứng tham gia. Cần tăng cường tham gia hoạt động có trọng điểm,Hoàn thành minh chứng rèn luyện và nộp trước hạn
1608,0.4983,Trung bình,Thỉnh thoảng vắng họp lớp không lý do,Chuẩn bị nội dung trước khi dự seminar học thuật
1609,0.625,Thấp,Tham gia tập huấn kỹ năng mềm theo lộ trình. Ảnh hưởng trực tiếp tới điểm rèn luyện,Chia sẻ kinh nghiệm rèn luyện cho lớp
1610,0.9603,Tốt,Đạt giải cao trong cuộc thi học thuật cấp trường. Ảnh hưởng trực tiếp tới điểm rèn luyện,Tiếp tục phát huy vai trò hạt nhân phong trào và báo cáo minh chứng trên LMS
1611,0.6337,Thấp,"Trong học kỳ này, Duy trì tinh thần hợp tác và trách nhiệm",Mở rộng hợp tác với CLB khác trong khoa
1612,0.2644,Cao,Bỏ qua chương trình thiện nguyện của trường,"Do đó, tham gia câu lạc bộ học thuật theo sở thích cá nhân"
1613,0.5384,Trung bình,"Theo ghi nhận, Chưa tận dụng các chương trình kỹ năng mềm. Ảnh hưởng trực tiếp tới điểm rèn luyện",Mở rộng tham gia cuộc thi học thuật cấp khoa
1614,0.6368,Thấp,"Theo ghi nhận, Giữ vai trò điều phối nhóm trong hoạt động thiện nguyện",Hỗ trợ truyền thông và hậu cần cho chương trình
1615,0.8751,Tốt,Quan sát cho thấy Huấn luyện kỹ năng mềm cho các khóa dưới. Ảnh hưởng trực tiếp tới điểm rèn luyện,Kết nối doanh nghiệp tài trợ hoạt động sinh viên
1616,0.9522,Tốt,Thực tế cho thấy Thường xuyên tổ chức seminar chia sẻ học thuật. Cần tăng cường tham gia hoạt động có trọng điểm,Xây dựng mô hình CLB học thuật bền vững
1617,0.9481,Tốt,"Là hạt nhân phong trào, tạo ảnh hưởng tích cực","Từ đó, xây dựng mô hình CLB học thuật bền vững"
1618,0.7653,Thấp,Quan sát cho thấy Đóng góp đều cho hoạt động lớp và chi đoàn,Hỗ trợ truyền thông và hậu cần cho chương trình
1619,0.7792,Thấp,Duy trì tinh thần hợp tác và trách nhiệm. Cần tăng cường tham gia hoạt động có trọng điểm,Hỗ trợ truyền thông và hậu cần cho chương trình và báo cáo minh chứng trên LMS
1620,0.391,Trung bình,Đóng góp hoạt động lớp ở mức tối thiểu,Mở rộng tham gia cuộc thi học thuật cấp khoa và báo cáo minh chứng trên LMS
1621,0.3165,Trung bình,Chưa có minh chứng đóng góp cộng đồng nổi bật. Cần tăng cường tham gia hoạt động có trọng điểm,Hệ quả là tham gia nhóm học tập tình nguyện cố định
1622,0.085,Cao,Quan sát cho thấy Ít tham gia hoạt động Đoàn–Hội trong học kỳ. Cần tăng cường tham gia hoạt động có trọng điểm,Phối hợp với cố vấn học tập để chọn hoạt động phù hợp và báo cáo minh chứng trên LMS
1623,0.45,Trung bình,"Theo ghi nhận, Tham gia hoạt động Đoàn–Hội nhưng tần suất chưa đều",Hệ quả là đề xuất sáng kiến nhỏ cho chi đoàn
1624,0.914,Tốt,"Trong học kỳ này, Làm gương trong kỷ luật và tinh thần cộng đồng",Xây dựng cẩm nang rèn luyện và chia sẻ rộng rãi
1625,0.8248,Thấp,Tương tác tích cực trong các buổi sinh hoạt kỹ năng,Đảm nhận mentor cho nhóm sinh viên mới
1626,0.2536,Cao,Thực tế cho thấy Không tham gia tập huấn kỹ năng mềm do Đoàn tổ chức,Hoàn thành minh chứng rèn luyện và nộp trước hạn và báo cáo minh chứng trên LMS
1627,0.9349,Tốt,Thực tế cho thấy Điều phối các chiến dịch tình nguyện quy mô lớn,Kết nối doanh nghiệp tài trợ hoạt động sinh viên và báo cáo minh chứng trên LMS
1628,0.5265,Trung bình,"Theo ghi nhận, Đóng góp hoạt động lớp ở mức tối thiểu",Tăng tần suất tham gia hoạt động lớp và chi đoàn và báo cáo minh chứng trên LMS
1629,0.288,Cao,Bỏ qua chương trình thiện nguyện của trường. Ảnh hưởng trực tiếp tới điểm rèn luyện,Tham gia tập huấn kỹ năng mềm do Đoàn tổ chức
1630,0.3833,Trung bình,"Theo ghi nhận, Tham gia câu lạc bộ học thuật nhưng ít hoạt động",Chủ động nhận nhiệm vụ trong sự kiện của khoa
1631,0.3211,Trung bình,"Đáng chú ý, Tham gia seminar nhưng không phản hồi nội dung. Cần tăng cường tham gia hoạt động có trọng điểm",Hoàn thiện minh chứng rèn luyện ngay sau mỗi hoạt động và báo cáo minh chứng trên LMS
1632,0.7177,Thấp,Tham gia tình nguyện theo nhóm nhỏ thường xuyên,Mở rộng hợp tác với CLB khác trong khoa
